Testrun,Q_num,Q_part,Resp_num,Resp_part,Q_speaker,Q_text,Q_survey,Resp_speaker,Resp_text,Resp_survey,Resp_json,Resp_stance,Resp_ranking,Q_context
Example,5,53,3,55,Audience Member 20211028QT43,"Glasgow's refuse services have been severely impacted by the pandemic. Our city is currently littered with rubbish and rats. With COP26 coming, which I welcome, by the way, I just wonder, is this the right time to be showcasing our city?","Glasgow's refuse services have been severely impacted by the pandemic. Our city is currently littered with rubbish and rats. With the 2021 United Nations Climate Change Conference coming, is this the right time to be showcasing our city?",Kate Forbes,"I mean, Glasgow has a proud heritage of hosting international events and showcasing the best of Glaswegian hospitality and welcoming people. I think that's what we should be celebrating.",I know we can do it. Glasgow has a proud heritage of hosting international events and showcasing the best of Glaswegian hospitality and welcoming people. I think that's what we should be celebrating.,,Same,,
Example,5,53,4,56,Audience Member 20211028QT44,"Glasgow's refuse services have been severely impacted by the pandemic. Our city is currently littered with rubbish and rats. With COP26 coming, which I welcome, by the way, I just wonder, is this the right time to be showcasing our city?","Glasgow's refuse services have been severely impacted by the pandemic. Our city is currently littered with rubbish and rats. With the 2021 United Nations Climate Change Conference coming, is this the right time to be showcasing our city?",Heather McGregor,"This is the most amazing city. This is the city where 300 years ago Adam Smith studied. And there was no rubbish collection in those days and it was still the best city in the world. The motto here in this city is let Glasgow flourish. I think Glasgow will flourish with COP26. Like you, I welcome it. I think it's going to be a great two weeks, rubbish or not.","This is the most amazing city. There was no rubbish collection during the pandemic and it was still the best city in the world. Like you, I welcome it. I think it's going to be a great two weeks, rubbish or not.",,Same,,
28October2021,1,1,1,2,Audience Member 20211028QT02,"In light of UK-wide COVID cases remaining significantly high and deaths consistently averaging over 100 per day, should the governments reimpose more restrictions to prevent a winter wave?","In light of UK-wide COVID cases remaining significantly high and deaths consistently averaging over 100 per day, should the governments reimpose more restrictions to prevent a winter wave?",Andrew Bowie,"we're very clear that the best way to beat this virus and to beat it back into submission, to allow the country to get on with its normal life, is to continue with the vaccine rollout and encourage everybody out there who's entitled to a booster vaccine to get that jab as soon as possible.","We're very clear that the best way to beat this virus and to beat it back into submission, to allow the country to get on with its normal life, is to continue with the vaccine rollout and encourage everybody out there who's entitled to a booster vaccine to get that jab as soon as possible.","['2_168690391329772751', '7_168690391329772751', '12_168690391329772751']",Same,2,
28October2021,1,1,2,7,Audience Member 20211028QT03,"In light of UK-wide COVID cases remaining significantly high and deaths consistently averaging over 100 per day, should the governments reimpose more restrictions to prevent a winter wave?","In light of UK-wide COVID cases remaining significantly high and deaths consistently averaging over 100 per day, should the governments reimpose more restrictions to prevent a winter wave?",Brian Cox,"I think it's a mess. It's an absolute mess. I think the left hand doesn't really know what the right hand's doing on this. And clearly, I love the idea of normal life and we aren't living a normal life. What is normal life? It's certainly not like that at the moment and it's not going to be like that, whatever that may mean, eventually. But I feel that we do need to be vaccinated. We do need to be responsible.","I think it's a mess. It's an absolute mess. I think the left hand doesn't really know what the right hand's doing on this. And clearly, I love the idea of normal life and we aren't living a normal life. What is normal life? It's certainly not like that at the moment and it's not going to be like that, whatever that may mean, eventually. But I feel that we do need to be vaccinated. We do need to be responsible. ","['2_168690394195572931', '7_168690394195572931', '12_168690394195572931', '17_168690394195572931', '38_168690394195572931', '45_168690394195572931', '59_168690394195572931', '66_168690394195572931']",Same,3,
28October2021,1,1,3,9,Audience Member 20211028QT04,"In light of UK-wide COVID cases remaining significantly high and deaths consistently averaging over 100 per day, should the governments reimpose more restrictions to prevent a winter wave?","In light of UK-wide COVID cases remaining significantly high and deaths consistently averaging over 100 per day, should the governments reimpose more restrictions to prevent a winter wave?",Kate Forbes,"the British Medical Association thinks that the answer is yes. With Sajid Javid talking about cases potentially rising to 100,000, now is the time to implement plan B. Now let's be clear what plan B is. Plan B is a lot of the things that are already in place in Scotland. It's things as basic as wearing masks in certain situations.","The British Medical Association thinks that the answer is yes. With Sajid Javid talking about cases potentially rising to 100,000, now is the time to implement plan B. Now let's be clear what plan B is. Plan B is a lot of the things that are already in place in Scotland. It's things as basic as wearing masks in certain situations. ","['45_168690407530028527', '56_168690407530028527', '69_168690407530028527', '80_168690407530028527', '91_168690407530028527', '102_168690407530028527']",Same,1,
28October2021,2,19,1,20,Audience Member 20211028QT13,"What is being done to protect women with the reported increase of spiking, including by injection, across Scotland the UK?","What is being done to protect women with the reported increase of spiking, including by injection, across Scotland the UK?",Heather McGregor,"what can be done about it? Well, first of all, this is happening in clubs mainly. It's happening in big nightclubs, in crowded clubs, and I think that the venue owners and the venue managers should have a duty of care towards their customers. And I applaud the people that are boycotting some of these places because of this, because they haven't got a duty of care.","What can be done about it? Well, first of all, this is happening in clubs mainly. It's happening in big nightclubs, in crowded clubs, and I think that the venue owners and the venue managers should have a duty of care towards their customers. And I applaud the people that are boycotting some of these places because of this, because they haven't got a duty of care.","['22_168690397058910595', '32_168690397058910595', '37_168690397058910595', '42_168690397058910595', '47_168690397058910595', '52_168690397058910595']",Same,4,
28October2021,2,19,2,21,Audience Member 20211028QT14,"What is being done to protect women with the reported increase of spiking, including by injection, across Scotland the UK?","What is being done to protect women with the reported increase of spiking, including by injection, across Scotland the UK?",Kate Forbes,"legislation is really important but it's never enough. You can have the legislation, but there are two other things you need. You need rigid enforcement of that legislation. And I know that Police Scotland are doing a lot of work right now to get to the bottom of those reports.","Legislation is really important but it's never enough. You can have the legislation, but there are two other things you need. You need rigid enforcement of that legislation. And I know that Police Scotland are doing a lot of work right now to get to the bottom of those reports.","['119_168690404670780849', '124_168690404670780849', '129_168690404670780849', '134_168690404670780849', '158_168690404670780849', '163_168690404670780849']",Same,1,
28October2021,2,19,3,22,Audience Member 20211028QT14,"What is being done to protect women with the reported increase of spiking, including by injection, across Scotland the UK?","What is being done to protect women with the reported increase of spiking, including by injection, across Scotland the UK?",Kate Forbes,"Police Scotland recently produced a hugely powerful video aimed at men who areвЂ¦ I have a lot of men in my life who I love dearly, my father, my husband, but men need to be in a position to be empowered, to call out other men who are not behaving as they should be behaving.","Police Scotland recently produced a hugely powerful video aimed at men who areвЂ¦ I have a lot of men in my life who I love dearly, my father, my husband, but men need to be in a position to be empowered, to call out other men who are not behaving as they should be behaving.","['23_168690403722057890', '30_168690403722057890', '37_168690403722057890', '44_168690403722057890']",Same,9,
28October2021,2,19,4,22,Audience Member 20211028QT15,"What is being done to protect women with the reported increase of spiking, including by injection, across Scotland the UK?","What is being done to protect women with the reported increase of spiking, including by injection, across Scotland the UK?",Audience Member 20211028QT16,"I think that people need to be aware of what children and what boys are being exposed to on the internet and that what is acceptable and how people should be treated equally and why women have to be fearful of what they're actuallyвЂ¦where they're going and if they can go out clubbing. Whereas actually it's the perpetrators and the focus should be on them and on educating them, that this is not acceptable and it will need to change.","I think that people need to be aware of what children and what boys are being exposed to on the internet and that what is acceptable and how people should be treated equally and why women have to be fearful of what they're actuallyвЂ¦where they're going and if they can go out clubbing. Whereas actually it's the perpetrators and the focus should be on them and on educating them, that this is not acceptable and it will need to change.","['80_168690403722057890', '94_168690403722057890', '101_168690403722057890', '127_168690403722057890', '134_168690403722057890', '149_168690403722057890', '156_168690403722057890']",Same,5,
28October2021,2,19,5,25,Audience Member 20211028QT16,"What is being done to protect women with the reported increase of spiking, including by injection, across Scotland the UK?","What is being done to protect women with the reported increase of spiking, including by injection, across Scotland the UK?",Brian Cox,"I'm thinking, where is this drug and how are they getting it? And I think we also have to look at that and nobody's actually talked about that. Nobody's actually talked about what the drug is and the accessibility of the drug.","I'm thinking, where is this drug and how are they getting it? And I think we also have to look at that and nobody's actually talked about that. Nobody's actually talked about what the drug is and the accessibility of the drug. ","['32_168690412306575663', '37_168690412306575663', '42_168690412306575663', '47_168690412306575663', '52_168690412306575663', '57_168690412306575663']",Same,3,
28October2021,2,19,6,25,Audience Member 20211028QT17,"What is being done to protect women with the reported increase of spiking, including by injection, across Scotland the UK?","What is being done to protect women with the reported increase of spiking, including by injection, across Scotland the UK?",Anas Sarwar,"it's about legislation, but more importantly, it's about culture, and we passed a Hate Crime bill in the last parliament but we didn't include the largest hate crime, which is sexism and misogyny in that Hate Crime bill, which I think was an absolute failure. And I think that's something that should be corrected.","It's about legislation, but more importantly, it's about culture, and we passed a Hate Crime bill in the last parliament but we didn't include the largest hate crime, which is sexism and misogyny in that Hate Crime bill, which I think was an absolute failure. And I think that's something that should be corrected.","['92_168690412306575663', '97_168690412306575663', '102_168690412306575663', '107_168690412306575663', '112_168690412306575663', '117_168690412306575663']",Same,2,
